----------------------------------------------
PZ-Out TotHead [m]: 
    2016/06/14 12:15:00 428.587000 
    2016/06/14 12:30:00 428.588160 
    2016/06/14 12:45:00 428.588160 
    2016/06/14 13:00:00 428.584910 
    2016/06/14 13:15:00 428.581160 
    2016/06/14 13:30:00 428.584660 
    2016/06/14 13:45:00 428.586410 
    2016/06/14 14:00:00 428.580830 
    2016/06/14 14:15:00 428.582330 
    2016/06/14 14:30:00 428.582330 
    2016/06/14 14:45:00 428.582330 
    2016/06/14 15:00:00 428.584080 
    2016/06/14 15:15:00 428.582330 
    2016/06/14 15:30:00 428.585500 
    2016/06/14 15:45:00 428.585500 
    2016/06/14 16:00:00 428.583750 
    2016/06/14 16:15:00 428.585250 
    2016/06/14 16:30:00 428.584910 
    2016/06/14 16:45:00 428.584910 
    2016/06/14 17:00:00 428.582330 
    2016/06/14 17:15:00 428.583410 
    2016/06/14 17:30:00 428.584330 
    2016/06/14 17:45:00 428.586080 
    2016/06/14 18:00:00 428.582580 
    2016/06/14 18:15:00 428.587580 
    2016/06/14 18:30:00 428.587580 
    2016/06/14 18:45:00 428.585250 
    2016/06/14 19:00:00 428.586750 
    2016/06/14 19:15:00 428.587250 
    2016/06/14 19:30:00 428.587250 
    2016/06/14 19:45:00 428.590500 
    2016/06/14 20:00:00 428.590500 
    2016/06/14 20:15:00 428.588750 
    2016/06/14 20:30:00 428.590500 
    2016/06/14 20:45:00 428.592250 
    2016/06/14 21:00:00 428.591410 
    2016/06/14 21:15:00 428.591660 
    2016/06/14 21:30:00 428.591660 
    2016/06/14 21:45:00 428.591410 
    2016/06/14 22:00:00 428.589910 
    2016/06/14 22:15:00 428.591660 
    2016/06/14 22:30:00 428.591660 
    2016/06/14 22:45:00 428.595160 
    2016/06/14 23:00:00 428.591080 
    2016/06/14 23:15:00 428.593080 
    2016/06/14 23:30:00 428.593080 
    2016/06/14 23:45:00 428.594830 
    2016/06/15 00:00:00 428.594830 
    2016/06/15 00:15:00 428.596580 
    2016/06/15 00:30:00 428.600660 
    2016/06/15 00:45:00 428.607410 
    2016/06/15 01:00:00 428.622250 
    2016/06/15 01:15:00 428.637160 
    2016/06/15 01:30:00 428.643000 
    2016/06/15 01:45:00 428.648830 
    2016/06/15 02:00:00 428.658410 
    2016/06/15 02:15:00 428.663910 
    2016/06/15 02:30:00 428.665410 
    2016/06/15 02:45:00 428.661910 
    2016/06/15 03:00:00 428.657830 
    2016/06/15 03:15:00 428.657830 
    2016/06/15 03:30:00 428.659580 
    2016/06/15 03:45:00 428.662830 
    2016/06/15 04:00:00 428.662830 
    2016/06/15 04:15:00 428.661330 
    2016/06/15 04:30:00 428.658750 
    2016/06/15 04:45:00 428.655750 
    2016/06/15 05:00:00 428.653750 
    2016/06/15 05:15:00 428.653750 
    2016/06/15 05:30:00 428.652250 
    2016/06/15 05:45:00 428.650250 
    2016/06/15 06:00:00 428.650500 
    2016/06/15 06:15:00 428.650250 
