, 0, 0.05, 0.1, 0.15, 0.2, 0.3
05/30/2016 16:00, 20.196500, 18.327330, 17.652330, 16.777330, 14.791420, 14.791420
05/30/2016 16:10, 19.076500, 17.187330, 16.352330, 15.547330, 13.891420, 13.891420
05/30/2016 16:20, 18.676500, 16.777330, 15.868997, 15.110663, 13.661420, 13.661420
05/30/2016 16:30, 18.506500, 16.580663, 15.662330, 14.887330, 13.544753, 13.544753
05/30/2016 16:40, 18.356500, 16.497330, 15.522330, 14.767330, 13.491420, 13.491420
05/30/2016 16:50, 18.326500, 16.437330, 15.402330, 14.680663, 13.401420, 13.401420
05/30/2016 17:00, 18.246500, 16.347330, 15.402330, 14.627330, 13.371420, 13.371420
05/30/2016 17:10, 18.246500, 16.347330, 15.322330, 14.597330, 13.371420, 13.371420
05/30/2016 17:20, 18.246500, 16.293997, 15.322330, 14.537330, 13.311420, 13.311420
05/30/2016 17:30, 18.246500, 16.320663, 15.292330, 14.507330, 13.311420, 13.311420
05/30/2016 17:40, 18.246500, 16.320663, 15.292330, 14.507330, 13.311420, 13.311420
05/30/2016 17:50, 18.246500, 16.320663, 15.232330, 14.447330, 13.311420, 13.311420
05/30/2016 18:00, 18.273167, 16.320663, 15.232330, 14.447330, 13.281420, 13.281420
05/30/2016 18:10, 18.299833, 16.347330, 15.232330, 14.447330, 13.281420, 13.281420
05/30/2016 18:20, 18.326500, 16.347330, 15.232330, 14.447330, 13.281420, 13.281420
05/30/2016 18:30, 18.326500, 16.347330, 15.232330, 14.447330, 13.281420, 13.281420
05/30/2016 18:40, 18.326500, 16.347330, 15.232330, 14.447330, 13.281420, 13.281420
05/30/2016 18:50, 18.299833, 16.347330, 15.232330, 14.447330, 13.281420, 13.281420
05/30/2016 19:00, 18.326500, 16.377330, 15.232330, 14.417330, 13.281420, 13.281420
05/30/2016 19:10, 18.326500, 16.407330, 15.232330, 14.417330, 13.281420, 13.281420
05/30/2016 19:20, 18.326500, 16.407330, 15.292330, 14.417330, 13.251420, 13.251420
05/30/2016 19:30, 18.326500, 16.437330, 15.292330, 14.417330, 13.251420, 13.251420
05/30/2016 19:40, 18.356500, 16.437330, 15.292330, 14.417330, 13.221420, 13.221420
05/30/2016 19:50, 18.386500, 16.437330, 15.292330, 14.417330, 13.221420, 13.221420
05/30/2016 20:00, 18.356500, 16.437330, 15.322330, 14.417330, 13.221420, 13.221420
05/30/2016 20:10, 18.386500, 16.437330, 15.322330, 14.417330, 13.221420, 13.221420
05/30/2016 20:20, 18.356500, 16.497330, 15.322330, 14.447330, 13.221420, 13.221420
05/30/2016 20:30, 18.356500, 16.527330, 15.322330, 14.417330, 13.221420, 13.221420
05/30/2016 20:40, 18.356500, 16.527330, 15.322330, 14.447330, 13.221420, 13.221420
05/30/2016 20:50, 18.326500, 16.527330, 15.322330, 14.447330, 13.221420, 13.221420
05/30/2016 21:00, 18.326500, 16.527330, 15.322330, 14.447330, 13.221420, 13.221420
05/30/2016 21:10, 18.326500, 16.527330, 15.375663, 14.447330, 13.221420, 13.221420
05/30/2016 21:20, 18.326500, 16.553997, 15.375663, 14.447330, 13.221420, 13.221420
05/30/2016 21:30, 18.326500, 16.580663, 15.375663, 14.447330, 13.221420, 13.221420
05/30/2016 21:40, 18.299833, 16.580663, 15.375663, 14.447330, 13.221420, 13.221420
05/30/2016 21:50, 18.299833, 16.607330, 15.402330, 14.447330, 13.221420, 13.221420
05/30/2016 22:00, 18.246500, 16.607330, 15.402330, 14.447330, 13.221420, 13.221420
05/30/2016 22:10, 18.246500, 16.607330, 15.402330, 14.447330, 13.221420, 13.221420
05/30/2016 22:20, 18.246500, 16.607330, 15.402330, 14.417330, 13.221420, 13.221420
05/30/2016 22:30, 18.246500, 16.607330, 15.402330, 14.477330, 13.221420, 13.221420
05/30/2016 22:40, 18.246500, 16.607330, 15.462330, 14.477330, 13.221420, 13.221420
05/30/2016 22:50, 18.216500, 16.607330, 15.432330, 14.507330, 13.221420, 13.221420
05/30/2016 23:00, 18.186500, 16.607330, 15.462330, 14.507330, 13.221420, 13.221420
05/30/2016 23:10, 18.156500, 16.607330, 15.492330, 14.507330, 13.221420, 13.221420
05/30/2016 23:20, 18.156500, 16.607330, 15.492330, 14.507330, 13.221420, 13.221420
05/30/2016 23:30, 18.129833, 16.607330, 15.492330, 14.507330, 13.221420, 13.221420
05/30/2016 23:40, 18.076500, 16.607330, 15.492330, 14.537330, 13.221420, 13.221420
05/30/2016 23:50, 18.076500, 16.607330, 15.492330, 14.537330, 13.221420, 13.221420
05/31/2016 00:00, 18.076500, 16.607330, 15.492330, 14.537330, 13.221420, 13.221420
05/31/2016 00:10, 18.046500, 16.607330, 15.492330, 14.537330, 13.221420, 13.221420
05/31/2016 00:20, 18.016500, 16.607330, 15.492330, 14.537330, 13.221420, 13.221420
05/31/2016 00:30, 17.986500, 16.607330, 15.522330, 14.537330, 13.221420, 13.221420
05/31/2016 00:40, 17.986500, 16.607330, 15.522330, 14.537330, 13.221420, 13.221420
05/31/2016 00:50, 17.926500, 16.607330, 15.552330, 14.537330, 13.221420, 13.221420
05/31/2016 01:00, 17.896500, 16.607330, 15.552330, 14.537330, 13.221420, 13.221420
05/31/2016 01:10, 17.896500, 16.607330, 15.552330, 14.537330, 13.221420, 13.221420
05/31/2016 01:20, 17.843167, 16.607330, 15.552330, 14.537330, 13.221420, 13.221420
05/31/2016 01:30, 17.816500, 16.607330, 15.582330, 14.537330, 13.221420, 13.221420
05/31/2016 01:40, 17.786500, 16.607330, 15.582330, 14.537330, 13.221420, 13.221420
05/31/2016 01:50, 17.726500, 16.607330, 15.582330, 14.597330, 13.221420, 13.221420
05/31/2016 02:00, 17.726500, 16.607330, 15.582330, 14.597330, 13.221420, 13.221420
05/31/2016 02:10, 17.646500, 16.607330, 15.582330, 14.597330, 13.221420, 13.221420
05/31/2016 02:20, 17.646500, 16.607330, 15.582330, 14.597330, 13.221420, 13.221420
05/31/2016 02:30, 17.586500, 16.553997, 15.582330, 14.597330, 13.221420, 13.221420
05/31/2016 02:40, 17.556500, 16.580663, 15.582330, 14.597330, 13.221420, 13.221420
05/31/2016 02:50, 17.556500, 16.527330, 15.582330, 14.627330, 13.251420, 13.251420
05/31/2016 03:00, 17.466500, 16.527330, 15.582330, 14.627330, 13.221420, 13.221420
05/31/2016 03:10, 17.439833, 16.527330, 15.582330, 14.627330, 13.221420, 13.221420
05/31/2016 03:20, 17.386500, 16.527330, 15.582330, 14.627330, 13.251420, 13.251420
05/31/2016 03:30, 17.356500, 16.527330, 15.582330, 14.627330, 13.221420, 13.221420
05/31/2016 03:40, 17.296500, 16.527330, 15.582330, 14.627330, 13.221420, 13.221420
05/31/2016 03:50, 17.296500, 16.497330, 15.582330, 14.627330, 13.251420, 13.251420
