, 0, 0.05, 0.1, 0.15, 0.2, 0.3
05/30/2016 16:00, 19.630920, 17.216500, 15.630663, 14.802330, 14.017330, 12.761420
05/30/2016 16:10, 19.657587, 17.269833, 15.630663, 14.802330, 14.017330, 12.701420
05/30/2016 16:20, 19.710920, 17.296500, 15.657330, 14.802330, 13.987330, 12.671420
05/30/2016 16:30, 19.770920, 17.296500, 15.657330, 14.802330, 13.987330, 12.671420
05/30/2016 16:40, 19.800920, 17.356500, 15.657330, 14.802330, 13.987330, 12.671420
05/30/2016 16:50, 19.800920, 17.386500, 15.657330, 14.802330, 13.927330, 12.641420
05/30/2016 17:00, 19.854253, 17.386500, 15.717330, 14.802330, 13.987330, 12.611420
05/30/2016 17:10, 19.880920, 17.466500, 15.747330, 14.802330, 13.927330, 12.611420
05/30/2016 17:20, 19.970920, 17.466500, 15.747330, 14.802330, 13.957330, 12.611420
05/30/2016 17:30, 20.000920, 17.526500, 15.747330, 14.862330, 13.927330, 12.611420
05/30/2016 17:40, 20.060920, 17.556500, 15.807330, 14.862330, 13.957330, 12.611420
05/30/2016 17:50, 20.060920, 17.556500, 15.837330, 14.892330, 13.957330, 12.611420
05/30/2016 18:00, 20.060920, 17.646500, 15.837330, 14.892330, 13.987330, 12.611420
05/30/2016 18:10, 20.087587, 17.646500, 15.890663, 14.892330, 13.987330, 12.611420
05/30/2016 18:20, 20.114253, 17.673167, 15.917330, 14.892330, 13.987330, 12.611420
05/30/2016 18:30, 20.140920, 17.726500, 15.917330, 14.945663, 13.987330, 12.611420
05/30/2016 18:40, 20.114253, 17.726500, 15.917330, 14.945663, 13.987330, 12.581420
05/30/2016 18:50, 20.114253, 17.786500, 15.977330, 14.972330, 13.987330, 12.581420
05/30/2016 19:00, 20.087587, 17.816500, 16.007330, 14.972330, 14.017330, 12.581420
05/30/2016 19:10, 20.114253, 17.816500, 16.007330, 14.972330, 14.017330, 12.581420
05/30/2016 19:20, 20.087587, 17.843167, 16.067330, 14.972330, 14.017330, 12.581420
05/30/2016 19:30, 20.060920, 17.869833, 16.097330, 15.032330, 14.017330, 12.581420
05/30/2016 19:40, 20.060920, 17.896500, 16.097330, 15.002330, 14.017330, 12.581420
05/30/2016 19:50, 20.030920, 17.896500, 16.097330, 15.062330, 14.017330, 12.581420
05/30/2016 20:00, 19.970920, 17.896500, 16.150663, 15.062330, 14.043997, 12.581420
05/30/2016 20:10, 19.970920, 17.896500, 16.177330, 15.062330, 14.070663, 12.581420
05/30/2016 20:20, 19.910920, 17.956500, 16.177330, 15.088997, 14.070663, 12.581420
05/30/2016 20:30, 19.880920, 17.986500, 16.207330, 15.115663, 14.097330, 12.581420
05/30/2016 20:40, 19.827587, 17.986500, 16.237330, 15.142330, 14.097330, 12.551420
05/30/2016 20:50, 19.770920, 17.986500, 16.267330, 15.142330, 14.097330, 12.581420
05/30/2016 21:00, 19.710920, 17.986500, 16.267330, 15.142330, 14.097330, 12.581420
05/30/2016 21:10, 19.684253, 17.956500, 16.267330, 15.142330, 14.097330, 12.581420
05/30/2016 21:20, 19.630920, 17.986500, 16.293997, 15.202330, 14.097330, 12.581420
05/30/2016 21:30, 19.600920, 17.986500, 16.320663, 15.232330, 14.127330, 12.581420
05/30/2016 21:40, 19.540920, 17.986500, 16.347330, 15.232330, 14.157330, 12.581420
05/30/2016 21:50, 19.450920, 17.986500, 16.347330, 15.232330, 14.157330, 12.581420
05/30/2016 22:00, 19.424253, 17.956500, 16.347330, 15.232330, 14.187330, 12.581420
05/30/2016 22:10, 19.370920, 17.956500, 16.347330, 15.262330, 14.187330, 12.611420
05/30/2016 22:20, 19.340920, 17.956500, 16.347330, 15.292330, 14.187330, 12.581420
05/30/2016 22:30, 19.280920, 17.896500, 16.377330, 15.292330, 14.187330, 12.581420
05/30/2016 22:40, 19.227587, 17.896500, 16.407330, 15.322330, 14.187330, 12.611420
05/30/2016 22:50, 19.200920, 17.896500, 16.437330, 15.322330, 14.187330, 12.581420
05/30/2016 23:00, 19.110920, 17.896500, 16.437330, 15.322330, 14.217330, 12.581420
05/30/2016 23:10, 19.050920, 17.896500, 16.437330, 15.322330, 14.247330, 12.611420
05/30/2016 23:20, 19.020920, 17.896500, 16.437330, 15.348997, 14.277330, 12.611420
05/30/2016 23:30, 18.940920, 17.869833, 16.437330, 15.375663, 14.247330, 12.611420
05/30/2016 23:40, 18.880920, 17.816500, 16.437330, 15.375663, 14.277330, 12.611420
05/30/2016 23:50, 18.850920, 17.816500, 16.437330, 15.402330, 14.277330, 12.611420
05/31/2016 00:00, 18.760920, 17.786500, 16.437330, 15.402330, 14.277330, 12.611420
05/31/2016 00:10, 18.680920, 17.786500, 16.437330, 15.402330, 14.277330, 12.611420
05/31/2016 00:20, 18.590920, 17.726500, 16.437330, 15.402330, 14.277330, 12.611420
05/31/2016 00:30, 18.537587, 17.726500, 16.437330, 15.402330, 14.330663, 12.611420
05/31/2016 00:40, 18.480920, 17.726500, 16.437330, 15.402330, 14.330663, 12.611420
05/31/2016 00:50, 18.390920, 17.673167, 16.437330, 15.462330, 14.330663, 12.611420
05/31/2016 01:00, 18.330920, 17.646500, 16.437330, 15.462330, 14.357330, 12.611420
05/31/2016 01:10, 18.250920, 17.646500, 16.437330, 15.462330, 14.357330, 12.611420
05/31/2016 01:20, 18.160920, 17.616500, 16.437330, 15.492330, 14.357330, 12.611420
05/31/2016 01:30, 18.080920, 17.556500, 16.437330, 15.492330, 14.357330, 12.611420
05/31/2016 01:40, 17.990920, 17.556500, 16.437330, 15.492330, 14.357330, 12.611420
05/31/2016 01:50, 17.900920, 17.526500, 16.437330, 15.492330, 14.357330, 12.641420
05/31/2016 02:00, 17.820920, 17.466500, 16.437330, 15.492330, 14.357330, 12.671420
05/31/2016 02:10, 17.760920, 17.466500, 16.437330, 15.492330, 14.387330, 12.671420
05/31/2016 02:20, 17.677587, 17.386500, 16.437330, 15.492330, 14.417330, 12.671420
05/31/2016 02:30, 17.590920, 17.386500, 16.407330, 15.492330, 14.417330, 12.671420
05/31/2016 02:40, 17.500920, 17.326500, 16.407330, 15.492330, 14.417330, 12.671420
05/31/2016 02:50, 17.444253, 17.296500, 16.347330, 15.492330, 14.447330, 12.671420
05/31/2016 03:00, 17.360920, 17.269833, 16.347330, 15.492330, 14.447330, 12.671420
05/31/2016 03:10, 17.274253, 17.216500, 16.347330, 15.492330, 14.447330, 12.701420
05/31/2016 03:20, 17.190920, 17.186500, 16.347330, 15.492330, 14.447330, 12.671420
05/31/2016 03:30, 17.100920, 17.126500, 16.347330, 15.492330, 14.447330, 12.671420
05/31/2016 03:40, 17.040920, 17.096500, 16.320663, 15.492330, 14.447330, 12.701420
05/31/2016 03:50, 16.960920, 17.036500, 16.293997, 15.492330, 14.447330, 12.701420
05/31/2016 04:00, 16.870920, 17.009833, 16.267330, 15.492330, 14.447330, 12.671420
05/31/2016 04:10, 16.780920, 16.956500, 16.267330, 15.492330, 14.447330, 12.701420
05/31/2016 04:20, 16.727587, 16.926500, 16.267330, 15.492330, 14.447330, 12.701420
05/31/2016 04:30, 16.640920, 16.866500, 16.267330, 15.492330, 14.447330, 12.701420
05/31/2016 04:40, 16.584253, 16.866500, 16.237330, 15.492330, 14.447330, 12.701420
05/31/2016 04:50, 16.530920, 16.776500, 16.177330, 15.462330, 14.447330, 12.701420
05/31/2016 05:00, 16.440920, 16.776500, 16.177330, 15.492330, 14.477330, 12.701420
05/31/2016 05:10, 16.350920, 16.696500, 16.177330, 15.492330, 14.507330, 12.701420
05/31/2016 05:20, 16.270920, 16.696500, 16.150663, 15.492330, 14.507330, 12.701420
05/31/2016 05:30, 16.270920, 16.606500, 16.123997, 15.492330, 14.507330, 12.701420
05/31/2016 05:40, 16.180920, 16.606500, 16.097330, 15.492330, 14.507330, 12.731420
05/31/2016 05:50, 16.100920, 16.526500, 16.097330, 15.462330, 14.507330, 12.731420
